"UI" "Region" "metr" "RCTs_fill" "RCTs_nogap" "Patients_fill" "Patients_nogap"
"84" "up" "South Asia" "yll" 50.4203052737959 18.9332558434653 47.4571012807343 22.5574296221993
"85" "low" "Southeast Asia, East Asia and Oceania" "daly" 19.1413313349409 0.844157780852337 17.7164913011553 3.45442102425512
"86" "med" "Southeast Asia, East Asia and Oceania" "daly" 22.4196146215309 2.66894701831911 23.1844758321763 6.88587360632335
"87" "up" "Southeast Asia, East Asia and Oceania" "daly" 25.0747345949125 3.65861065283866 26.7470595461933 9.56200554514162
"88" "low" "Southeast Asia, East Asia and Oceania" "death" 35.6227244071444 5.31827014174354 29.0208837754975 1.59292799977685
"89" "med" "Southeast Asia, East Asia and Oceania" "death" 38.3352325198843 7.05316075806031 35.574062601583 2.71418880128868
"90" "up" "Southeast Asia, East Asia and Oceania" "death" 41.0427972943096 8.77205023481615 43.0460512385518 8.74307642930634
"91" "low" "Southeast Asia, East Asia and Oceania" "yld" 42.1135285549827 11.0355048995852 46.279406899427 9.76014066109564
"92" "med" "Southeast Asia, East Asia and Oceania" "yld" 44.3122337968787 12.524760563031 51.7403978459715 12.1507056657099
"93" "up" "Southeast Asia, East Asia and Oceania" "yld" 46.5329936745862 13.8776098908914 55.9538984637732 15.3254382733231
"94" "low" "Southeast Asia, East Asia and Oceania" "yll" 31.6523454673297 3.01380100182275 23.7909174777571 2.69851495403749
"95" "med" "Southeast Asia, East Asia and Oceania" "yll" 34.8975651437247 5.48216721984192 31.3642961056356 5.77457712363197
"96" "up" "Southeast Asia, East Asia and Oceania" "yll" 37.6937230578933 6.98497932841907 39.0717306921406 7.93530936529444
"97" "low" "Sub-Saharian Africa" "daly" 30.3741620649396 6.89532548420917 25.3350895597377 6.24604553146794
"98" "med" "Sub-Saharian Africa" "daly" 34.2761401211552 9.5004553289499 33.0807402692139 15.0303760505682
"99" "up" "Sub-Saharian Africa" "daly" 39.4949271432508 11.5459429222925 41.3349084444839 25.8937062871143
"100" "low" "Sub-Saharian Africa" "death" 29.7317048925474 6.12816985705249 26.8044853952313 8.69104022952116
"101" "med" "Sub-Saharian Africa" "death" 34.2376233053774 8.55149812768123 35.310509049698 15.5422497447525
"102" "up" "Sub-Saharian Africa" "death" 40.0159757487226 10.5189702523974 44.6827075789902 22.8817210002904
"103" "low" "Sub-Saharian Africa" "yld" 35.4771313920288 6.16388493174444 44.4464349057896 9.87547542486606
"104" "med" "Sub-Saharian Africa" "yld" 38.1179825708175 8.3489873203027 52.2684512654417 14.0444591998556
"105" "up" "Sub-Saharian Africa" "yld" 41.0267444601036 10.6943334440311 57.6522941925998 18.021162050712
"106" "low" "Sub-Saharian Africa" "yll" 37.9176019608168 9.51097098365102 28.2154920757328 8.14815747864702
"107" "med" "Sub-Saharian Africa" "yll" 42.1682809293082 12.1339589108911 36.1590877492873 18.7472259514231
"108" "up" "Sub-Saharian Africa" "yll" 47.656874311676 14.5673022468915 45.1683713542515 24.4608030865668
